# Copyright (c) 2018, NVIDIA CORPORATION.  All rights reserved.
# NVIDIA CORPORATION and its licensors retain all intellectual property
# and proprietary rights in and to this software, related documentation
# and any modifications thereto. Any use, reproduction, disclosure or
# distribution of this software and related documentation without an express
# license agreement from NVIDIA CORPORATION is strictly prohibited.
#
#
# dataset : NVGaze real eye (AR) / 16
#
#
imagefile,eye,gaze_x,gaze_y
000001.jpg,L,-0.5569,-0.1510
000002.jpg,L,-0.5569,-0.1510
000003.jpg,L,-0.5569,-0.1510
000004.jpg,L,-0.5569,-0.1510
000005.jpg,L,-0.5569,-0.1510
000006.jpg,L,-0.5569,-0.1510
000007.jpg,L,-0.5569,-0.1510
000008.jpg,L,-0.5569,-0.1510
000009.jpg,L,-0.5569,-0.1510
000010.jpg,L,-0.5569,-0.1510
000011.jpg,L,-0.5569,-0.1510
000012.jpg,L,-0.5569,-0.1510
000013.jpg,L,-0.5569,-0.1510
000014.jpg,L,-0.5569,-0.1510
000015.jpg,L,-0.5569,-0.1510
000016.jpg,L,-0.5569,-0.1510
000017.jpg,L,-0.5569,-0.1510
000018.jpg,L,-0.5569,-0.1510
000019.jpg,L,-0.5569,-0.1510
000020.jpg,L,-0.5569,-0.1510
000021.jpg,L,-0.5569,-0.1510
000022.jpg,L,-0.5569,-0.1510
000023.jpg,L,-0.5569,-0.1510
000024.jpg,L,-0.5569,-0.1510
000025.jpg,L,-0.5569,-0.1510
000026.jpg,L,-0.5569,-0.1510
000027.jpg,L,-0.5569,-0.1510
000028.jpg,L,-0.5569,-0.1510
000029.jpg,L,-0.5569,-0.1510
000030.jpg,L,-0.5569,-0.1510
000031.jpg,L,-0.5569,-0.1510
000032.jpg,L,-0.5569,-0.1510
000033.jpg,L,-0.5569,-0.1510
000034.jpg,L,-0.5569,-0.1510
000035.jpg,L,-0.5569,-0.1510
000036.jpg,L,-0.5569,-0.1510
000037.jpg,L,-0.5569,-0.1510
000038.jpg,L,-0.5569,-0.1510
000039.jpg,L,-0.5569,-0.1510
000040.jpg,L,-0.5569,-0.1510
000041.jpg,L,-0.5569,-0.1510
000042.jpg,L,-0.5569,-0.1510
000043.jpg,L,-0.5569,-0.1510
000044.jpg,L,-0.5569,-0.1510
000045.jpg,L,-0.5569,-0.1510
000046.jpg,L,-0.5569,-0.1510
000047.jpg,L,-0.5569,-0.1510
000048.jpg,L,-0.5569,-0.1510
000049.jpg,L,-0.5569,-0.1510
000050.jpg,L,-0.5569,-0.1510
000051.jpg,L,-0.5569,-0.1510
000052.jpg,L,-0.5569,-0.1510
000053.jpg,L,-0.5569,-0.1510
000054.jpg,L,-0.5569,-0.1510
000055.jpg,L,-0.5569,-0.1510
000056.jpg,L,-0.5569,-0.1510
000057.jpg,L,-0.5569,-0.1510
000058.jpg,L,-0.5569,-0.1510
000059.jpg,L,-0.5569,-0.1510
000060.jpg,L,-0.5569,-0.1510
000061.jpg,L,-0.5569,-0.1510
000062.jpg,L,-0.5569,-0.1510
000063.jpg,L,-0.5569,-0.1510
000064.jpg,L,-0.5569,-0.1510
000065.jpg,L,-0.5569,-0.1510
000066.jpg,L,-0.5569,-0.1510
000067.jpg,L,-0.5569,-0.1510
000068.jpg,L,-0.5569,-0.1510
000069.jpg,L,-0.5569,-0.1510
000070.jpg,L,-0.5569,-0.1510
000071.jpg,L,-0.5569,-0.1510
000072.jpg,L,-0.5569,-0.1510
000073.jpg,L,-0.5569,-0.1510
000074.jpg,L,-0.5569,-0.1510
000075.jpg,L,-0.5569,-0.1510
000076.jpg,L,-0.5569,-0.1510
000077.jpg,L,-0.5569,-0.1510
000078.jpg,L,-0.5569,-0.1510
000079.jpg,L,-0.5569,-0.1510
000080.jpg,L,-0.5569,-0.1510
000081.jpg,L,-0.5569,-0.1510
000082.jpg,L,-0.5569,-0.1510
000083.jpg,L,-0.5569,-0.1510
000084.jpg,L,-0.5569,-0.1510
000085.jpg,L,-0.5569,-0.1510
000086.jpg,L,-0.5569,-0.1510
000087.jpg,L,-0.5569,-0.1510
000088.jpg,L,-0.5569,-0.1510
000089.jpg,L,-0.5569,-0.1510
000090.jpg,L,-0.5569,-0.1510
000091.jpg,L,-0.5569,-0.1510
000092.jpg,L,-0.5569,-0.1510
000093.jpg,L,-0.5569,-0.1510
000094.jpg,L,-0.5569,-0.1510
000095.jpg,L,-0.5569,-0.1510
000096.jpg,L,-0.5569,-0.1510
000097.jpg,L,-0.5569,-0.1510
000098.jpg,L,-0.5569,-0.1510
000099.jpg,L,-0.5569,-0.1510
000100.jpg,L,-0.5569,-0.1510
000101.jpg,L,-0.5569,-0.1510
000102.jpg,L,-0.5569,-0.1510
000103.jpg,L,-0.5569,-0.1510
000104.jpg,L,-0.5569,-0.1510
000105.jpg,L,-0.5569,-0.1510
000106.jpg,L,-0.5569,-0.1510
000107.jpg,L,-0.5569,-0.1510
000108.jpg,L,-0.5569,-0.1510
000109.jpg,L,-0.5569,-0.1510
000110.jpg,L,-0.5569,-0.1510
000111.jpg,L,-0.5569,-0.1510
000112.jpg,L,-0.5569,-0.1510
000113.jpg,L,-0.5569,-0.1510
000114.jpg,L,-0.5569,-0.1510
000115.jpg,L,-0.5569,-0.1510
000116.jpg,L,-0.5569,-0.1510
000117.jpg,L,-0.5569,-0.1510
000118.jpg,L,-0.5569,-0.1510
000119.jpg,L,-0.5569,-0.1510
000120.jpg,L,-0.5569,-0.1510
000121.jpg,L,-0.5569,-0.1510
000122.jpg,L,-0.5569,-0.1510
000123.jpg,L,-0.5569,-0.1510
000124.jpg,L,-0.5569,-0.1510
000125.jpg,L,-0.5569,-0.1510
000126.jpg,L,-0.5569,-0.1510
000127.jpg,L,-0.5569,-0.1510
000128.jpg,L,-0.5569,-0.1510
000129.jpg,L,-0.5569,-0.1510
000130.jpg,L,-0.5569,-0.1510
000131.jpg,L,-0.5569,-0.1510
000132.jpg,L,-0.5569,-0.1510
000133.jpg,L,-0.5569,-0.1510
000134.jpg,L,-0.5569,-0.1510
000135.jpg,L,-0.5569,-0.1510
000136.jpg,L,-0.5569,-0.1510
000137.jpg,L,-0.5569,-0.1510
000138.jpg,L,-0.5569,-0.1510
000139.jpg,L,-0.5569,-0.1510
000140.jpg,L,-0.5569,-0.1510
000141.jpg,L,-0.5569,-0.1510
